ward,total_crimes,violent_crimes,property_crimes,arrest_count,domestic_crimes,first_year,last_year,arrest_rate,safety_score,violent_safety_score,final_livability_score
38,1930,545,864,0,0,2025,2026,0.0,100.0,97.50631313131314,99.25189393939394
39,2210,554,1056,0,0,2025,2026,0.0,96.94656488549619,97.22222222222223,97.029262086514
23,2154,644,976,0,0,2025,2026,0.0,97.55725190839695,94.38131313131314,96.6044702752718
47,2511,466,1478,0,0,2025,2026,0.0,93.66412213740458,100.0,95.5648854961832
19,2280,653,1060,0,0,2025,2026,0.0,96.18320610687023,94.09722222222223,95.55741094147582
45,2456,594,1259,0,0,2025,2026,0.0,94.2639040348964,95.95959595959596,94.77261161230626
41,2565,580,1164,0,0,2025,2026,0.0,93.0752453653217,96.40151515151516,94.07312630117974
43,2705,475,1717,0,0,2025,2026,0.0,91.54852780806979,99.7159090909091,93.99874219292158
13,2431,718,1098,0,0,2025,2026,0.0,94.53653217011995,92.04545454545455,93.78920888272033
50,2450,712,1223,0,0,2025,2026,0.0,94.32933478735005,92.23484848484848,93.70098889659958
30,2533,725,1235,0,0,2025,2026,0.0,93.42420937840785,91.82449494949495,92.94429504973398
33,2561,742,1229,0,0,2025,2026,0.0,93.11886586695746,91.28787878787878,92.56956974323384
40,2623,706,1318,0,0,2025,2026,0.0,92.44274809160305,92.42424242424242,92.43719639139485
22,2450,897,887,0,0,2025,2026,0.0,94.32933478735005,86.39520202020202,91.94909495720565
12,2711,871,1258,0,0,2025,2026,0.0,91.48309705561614,87.2159090909091,90.20294066620403
31,2768,846,1307,0,0,2025,2026,0.0,90.86150490730644,88.0050505050505,90.00456858662966
48,2926,921,1395,0,0,2025,2026,0.0,89.13849509269356,85.63762626262627,88.08823444367337
35,3170,736,1845,0,0,2025,2026,0.0,86.47764449291166,91.47727272727273,87.97753296321997
32,3493,512,2439,0,0,2025,2026,0.0,82.95528898582333,98.54797979797979,87.63309622947025
11,3222,805,1747,0,0,2025,2026,0.0,85.91057797164667,89.29924242424242,86.9271773074254
2,3732,903,2038,0,0,2025,2026,0.0,80.34896401308615,86.20580808080808,82.10601723340272
18,3529,1077,1646,0,0,2025,2026,0.0,82.56270447110141,80.71338383838383,82.00790828128613
36,3783,892,2090,0,0,2025,2026,0.0,79.7928026172301,86.55303030303031,81.82087092297016
44,3954,831,2411,0,0,2025,2026,0.0,77.92802617230097,88.47853535353535,81.09317892667129
49,3570,1191,1557,0,0,2025,2026,0.0,82.11559432933478,77.11489898989899,80.61538572750405
26,3641,1144,1628,0,0,2025,2026,0.0,81.34133042529989,78.59848484848484,80.51847675225537
14,3801,1043,1908,0,0,2025,2026,0.0,79.59651035986914,81.78661616161617,80.25354210039325
1,4228,813,2765,0,0,2025,2026,0.0,74.94002181025081,89.04671717171718,79.17203041869072
15,3614,1393,1354,0,0,2025,2026,0.0,81.63576881134134,70.73863636363636,78.36662907702984
46,3991,1151,2078,0,0,2025,2026,0.0,77.52453653217012,78.37752525252526,77.78043314827666
25,3829,1284,1758,0,0,2025,2026,0.0,79.29116684841875,74.17929292929293,77.757604672681
29,4713,1786,1915,0,0,2025,2026,0.0,69.65103598691385,58.33333333333333,66.2557251908397
10,5082,1786,2257,0,0,2025,2026,0.0,65.62704471101418,58.33333333333333,63.438931297709914
34,6648,1291,4122,0,0,2025,2026,0.0,48.54961832061069,73.95833333333333,56.17223282442748
3,6228,1884,2923,0,0,2025,2026,0.0,53.12977099236641,55.23989898989899,53.76280939162618
5,6232,2072,2958,0,0,2025,2026,0.0,53.086150490730645,49.30555555555556,51.95197201017811
37,6164,2212,2380,0,0,2025,2026,0.0,53.82769901853871,44.88636363636363,51.14529840388619
21,6846,2232,2936,0,0,2025,2026,0.0,46.39040348964013,44.255050505050505,45.749797594263235
7,6744,2449,2926,0,0,2025,2026,0.0,47.50272628135224,37.40530303030303,44.473499306037475
8,6862,2407,2970,0,0,2025,2026,0.0,46.215921483097055,38.73106060606061,43.970463219986115
9,7003,2326,2855,0,0,2025,2026,0.0,44.6782988004362,41.28787878787878,43.66117279666897
16,6978,2697,2515,0,0,2025,2026,0.0,44.950926935659766,29.577020202020194,40.33875491556789
17,7216,2557,2959,0,0,2025,2026,0.0,42.355507088331514,33.996212121212125,39.8477185981957
4,7788,2130,4110,0,0,2025,2026,0.0,36.11777535441657,47.47474747474747,39.52486699051584
42,8609,1831,4664,0,0,2025,2026,0.0,27.164667393675018,56.91287878787879,36.089130811936144
24,7908,2916,2453,0,0,2025,2026,0.0,34.80916030534351,22.66414141414141,31.16565463798288
20,7901,2926,3277,0,0,2025,2026,0.0,34.885496183206115,22.348484848484844,31.124392782789734
6,8675,3321,3425,0,0,2025,2026,0.0,26.444929116684847,9.880050505050505,21.475465533194544
27,11100,2944,5676,0,0,2025,2026,0.0,0.0,21.78030303030303,6.534090909090909
28,10443,3634,4058,0,0,2025,2026,0.0,7.164667393675032,0.0,5.0152671755725216
